Documento,Año,Decisión (Criterio),¿Usa Fagos?,¿Es P. aeruginosa?,Modelo/Población,Justificación Metodológica
A-Novel-Multidrug-Resistant-NonTn4401-Genetic-ElementBearing-Strain-of-Klebsiella-pneumoniae-Isolated-From-an-Urban-Lake-With-Drinking-and-Recreational-Water-Reuse_2021_Frontiers-Media-SA.pdf,Desconocido,EXCLUIDO,Sí,No,Revisión,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
A-novel-virulent-Litunavirus-phage-possesses-therapeutic-value-against-multidrug-resistant-Pseudomonas-aeruginosa_2022_Nature-Research.pdf,Desconocido,EXCLUIDO,Sí,Sí,In vitro / In vivo (animales) / Clínico (humanos) / Revisión / No aplica,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
A-temperate-phage-encoding-a-catalytically-active-endolysin-characterization-of-phage-P7869-and-its-Lys7869-against-Pseudomonas-aeruginosa_2026_BioMed-Central-Ltd.pdf,Desconocido,INCLUIDO,Sí,Sí,In vitro / In vivo (animales) / Clínico (humanos),"The study focuses on the characterization of a temperate phage, P7869, and its recombinant endolysin Lys7869. It evaluates their stability, antimicrobial spectrum, and therapeutic potential against Pseudomonas aeruginosa. The methodology includes whole-genome sequencing to elucidate genomic features and expression in a prokaryotic system. This study meets all the criteria for inclusion as it is an experimental study with data from both in vitro/in vivo models and clinical human trials."
Acinetobacter-baumannii-resistance-A-real-challenge-for-clinicians_2020_MDPI-AG-rasettimdpicom-Postfach-Basel-CH4005.pdf,Desconocido,EXCLUIDO,Sí,No,In vitro / In vivo (animales) / Clínico (humanos),"El estudio se centra en el uso de bacteriófagos y proteínas de fagos para la resistencia a antibióticos de Acinetobacter baumannii, específicamente en la bacteria Pseudomonas aeruginosa. Este tipo de investigación es un estudio primario con datos experimentales (in vitro/in vivo/clinico) que cumple todos los criterios de inclusión."
Adaptive-Phage-Therapy-for-the-Prevention-of-Recurrent-Nosocomial-Pneumonia-Novel-Protocol-Description-and-Case-Series_2023_Multidisciplinary-Digital-Publishing-Institute-MDPI.pdf,Desconocido,EXCLUIDO,No,Sí,In vitro / In vivo (animales) / Clínico (humanos) / Revisión / No aplica,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
Advancements-in-alternative-approaches-to-address-antimicrobial-resistance-in-bacterial-pneumonia-a-comprehensive-review_2025_Frontiers-Media-SA.pdf,Desconocido,EXCLUIDO,No,No,Revisión,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
Analysis-of-a-novel-phage-as-a-promising-biological-agent-targeting-multidrug-resistant-Klebsiella-pneumoniae_2025_Springer-Science-and-Business-Media-Deutschland-GmbH.pdf,Desconocido,INCLUIDO,Sí,Sí,In vitro / In vivo (animales) / Clínico (humanos),"El estudio se centra en la evaluación de un nuevo bacteriófago vB_KpnP_kP17, que es específicamente diseñado para combatir a Klebsiella pneumoniae, una bacteria gram-negative resistente a antibióticos. El estudio incluye pruebas in vitro y clínicas, lo cual cumple con los criterios de inclusión establecidos."
Antibiotic-therapy-for-pandrugresistant-infections_2022_EDIMES-Edizioni-Medico-Scientifiche.pdf,Desconocido,INCLUIDO,Sí,Sí,In vitro / In vivo (animales) / Clínico (humanos),"El estudio se centra específicamente en la evaluación de fagos y proteínas de fagos como herramientas para combatir el antibioprotección, lo que cumple con los criterios de inclusión. Además, el objetivo del estudio es evaluar la eficacia de estas técnicas frente a Pseudomonas aeruginosa, una bacteria gram-negative gramófoba comúnmente resistente a muchos antibióticos."
Antibioticsparing-strategies-for-multidrugresistant-organism-MDRO-infections_2025_Frontiers-Media-SA.pdf,Desconocido,EXCLUIDO,Sí,No,Revisión,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
Antimicrobial-Treatment-of-Pseudomonas-aeruginosa-Severe-Sepsis_2022_MDPI.pdf,Desconocido,EXCLUIDO,Sí,Sí,In vitro / In vivo (animales) / Clínico (humanos) / Revisión / No aplica,Excluido automáticamente por ser una revisión de literatura (No aporta datos experimentales primarios).
