id,paginas,palabras,idioma_texto_completo,confianza,evidencia,idioma_previo,coincide,revista,titulo
EST-001,5,2367,eng,probado,eng 0.195 frente a por 0.009; palabras: the of and in to a for with,eng,si,Frontiers in medicine,"Case Report: Arthroscopic ""Debridement Antibiotics and Implant Retention"" With Local Injec"
EST-002,8,4439,eng,probado,eng 0.170 frente a por 0.006; palabras: the of and in to a for with,eng,si,Frontiers in medicine,Case report: Analysis of phage therapy failure in a patient with a Pseudomonas aeruginosa 
EST-004,20,7370,eng,probado,eng 0.160 frente a por 0.003; palabras: the of and in to a for with,eng,si,Nature medicine,Personalized inhaled bacteriophage therapy for treatment of multidrug-resistant Pseudomona
EST-006,16,5306,eng,probado,eng 0.233 frente a por 0.006; palabras: the of and in to a for with,eng,si,Viruses,Phage Therapy in a Burn Patient Colonized with Extensively Drug-Resistant Pseudomonas aeru
EST-008,15,4936,eng,probado,eng 0.186 frente a por 0.011; palabras: the of and in to a for with,eng,si,Nature Communications ,Phage therapy with nebulized cocktail BX004-A for chronic Pseudomonas aeruginosa infection
EST-009,8,4958,eng,probado,eng 0.177 frente a fre 0.015; palabras: the of and in to a for with,eng,si,Frontiers in pharmacology,Case Report: Chronic Bacterial Prostatitis Treated With Phage Therapy After Multiple Faile
EST-010,6,3793,eng,probado,eng 0.199 frente a por 0.007; palabras: the of and in to a for with,eng,si,Nature Communications ,Personalized bacteriophage therapy to treat pandrug-resistant spinal Pseudomonas aeruginos
EST-011,15,4442,eng,probado,eng 0.180 frente a por 0.007; palabras: the of and in to a for with,eng,si,Scientific reports,A case report of bacteriophage therapy for the treatment of lung infection due to carbapen
EST-012,33,2733,eng,probado,eng 0.216 frente a por 0.007; palabras: the of and in to a for with,eng,si,Nature communications,Chronic suppression of a multidrug-resistant Pseudomonas aeruginosa in prosthetic joint in
EST-014,5,1173,eng,probado,eng 0.196 frente a dan 0.005; palabras: the of and in to a for with,eng,si,Bioscience trends,Bacteriophage therapy for empyema caused by carbapenem-resistant Pseudomonas aeruginosa.
EST-016,9,5162,eng,probado,eng 0.193 frente a por 0.006; palabras: the of and in to a for with,eng,si,Frontiers in medicine,Use of Phage Cocktail BFC 1.10 in Combination With Ceftazidime-Avibactam in the Treatment 
EST-017,5,2275,eng,probado,eng 0.240 frente a por 0.011; palabras: the of and in to a for with,eng,si,Cureus,Successful Treatment of a Patient With Chronic Bronchiectasis Using an Induced Native Phag
EST-020,17,5566,eng,probado,eng 0.153 frente a por 0.013; palabras: the of and in to a for with,eng,si,Nature Communications ,Adjunctive phage therapy improves antibiotic treatment of ventilator-associated-pneumonia 
EST-024,5,2621,eng,probado,eng 0.201 frente a por 0.005; palabras: the of and in to a for with,eng,si,Journal of investigative medicine high impact case reports,Bacteriophage Therapy for Pan-Drug-Resistant Pseudomonas aeruginosa in Two Persons With Cy
EST-027,10,7065,eng,probado,eng 0.169 frente a por 0.011; palabras: the of and in to a for with,eng,si,Nature communications,Personalized aerosolised bacteriophage treatment of a chronic lung infection due to multid
EST-030,8,2854,eng,probado,eng 0.177 frente a por 0.005; palabras: the of and in to a for with,eng,si,ASM case reports,Clearance of hypermutator XDR Pseudomonas osteomyelitis and hardware infection with adjunc
EST-035,12,4978,eng,probado,eng 0.209 frente a por 0.007; palabras: the of and in to a for with,eng,si,Trials,Safety and microbiological activity of phage therapy in persons with cystic fibrosis colon
EST-037,6,2863,eng,probado,eng 0.154 frente a spa 0.007; palabras: the of and in to a for with,eng,si,Clinical Medicine Insights: Case Reports ,Pan-Resistant Pseudomonas aeruginosa Septic Shock in a Critically Ill Patient: A Case Repo
EST-039,12,4375,eng,probado,eng 0.258 frente a spa 0.008; palabras: the of and in to a for with,eng,si,Antibiotics,Adaptive Phage Therapy for the Prevention of Recurrent Nosocomial Pneumonia: Novel Protoco
EST-040,7,2682,eng,probado,eng 0.219 frente a por 0.007; palabras: the of and in to a for with,eng,si,Infection and drug resistance,Refractory Pseudomonas aeruginosa Bronchopulmonary Infection After Lung Transplantation fo
EST-041,13,5971,eng,probado,eng 0.189 frente a dan 0.010; palabras: the of and in to a for with,eng,si,Scientific reports,Optimized preparation pipeline for emergency phage therapy against Pseudomonas aeruginosa 
EST-042,8,3233,eng,probado,eng 0.166 frente a dan 0.006; palabras: the of and in to a for with,eng,si,mLife,Phage therapy of perinephric abscess in kidney transplantation recipients caused by drug-r
EST-046,3,592,eng,probado,eng 0.188 frente a por 0.015; palabras: the of and in to a for with,eng,si,"Critical care (London, England)",Use of bacteriophages in the treatment of colistin-only-sensitive Pseudomonas aeruginosa s
EST-047,5,1587,eng,probado,eng 0.165 frente a spa 0.004; palabras: the of and in to a for with,eng,si,Antimicrobial agents and chemotherapy,Bacteriophages as Adjuvant to Antibiotics for the Treatment of Periprosthetic Joint Infect
EST-048,8,4419,eng,probado,eng 0.197 frente a dan 0.011; palabras: the of and in to a for with,eng,si,Open forum infectious diseases,Application of Phage Therapy in a Case of a Chronic Hip-Prosthetic Joint Infection due to 
EST-051,7,3809,eng,probado,eng 0.222 frente a por 0.006; palabras: the of and in to a for with,eng,si,Frontiers in Medicine,Case report: Local bacteriophage therapy for fracture-related infection with polymicrobial
EST-053,8,4309,eng,probado,eng 0.231 frente a por 0.007; palabras: the of and in to a for with,eng,si,"Antibiotics (Basel, Switzerland)",Phage-Antibiotic Combination Therapy against Recurrent Pseudomonas Septicaemia in a Patien
EST-055,8,3390,eng,probado,eng 0.189 frente a por 0.008; palabras: the of and in to a for with,eng,si,Current Urology,Bacteriophage therapy in women with chronic recurrent cystitis caused by multidrug-resista
