pmid,year,first_author,title,abstract,journal,pubtypes,mesh,doi,arms,fetch_status,stage1,stage1_rule
25081984,2016,Shi W,A trapping ligand antagonist peptide H22-LP inhibition of human cytomegalovirus infection.,"Human cytomegalovirus (HCMV) can cause acute or chronic diseases, especially in immunocompromised patients. Currently, most drugs licensed for the treatment of the herpes virus are nucleoside analogs that have been developed over the past 25 years. Drug resistance, development of drug related toxicity, and side effects limit their clinical use in patients. In a previous study, we found a trapping ligand H22-LP (the conservative sequence is NAHCALL) from a random phage library according to the broad-spectrum trapping receptor H22, which derived from the residue 14-35 near the N-terminal region of receptor US28 on HCMV. Here, the aim was to evaluate the anti-HCMV activity of H22-LP. Antivirus activity of H22-LP on HCMV replication was visualized by fluorescence microscopy. We determined the effects of H22-LP on the expressions of HCMV late protein using q-PCR and Western blot. Comprehensive analysis of the characteristics of H22LP-mediated inhibition of HCMV were quantitatively analyzed by flow cytometry. H22-LP showed a 65.4% inhibition of viral infection at a concentration of 10 ng, and 50% inhibition at concentrations of 5 ng. The levels of mRNA and proteins were also found to have decreased by H22-LP in a concentration-dependent manner. The mode of antiviral action is based on a block of viral entry cells during HCMV cell adsorption/entry. These results demonstrated that H22-LP could inhibit HCMV by direct interaction with the viral particle.","Journal of microbiology, immunology, and infection = Wei mian yu gan ran za zhi","Journal Article; Research Support, Non-U.S. Gov't","Antiviral Agents; Blotting, Western; Cytomegalovirus; Flow Cytometry; Humans; Microbial Sensitivity Tests; Microscopy, Fluorescence; Peptides; Viral Proteins; Virus Replication",10.1016/j.jmii.2014.06.010,B_no_organism_block,ok,ADVANCE,
25209425,2016,Chen X,Discovery of human posterior head 20 (hPH20) and homo sapiens sperm acrosome associated 1 (hSPACA1) immunocontraceptive epitopes and their effects on fertility in male and female mice.,"The key goals of immunocontraception research are to obtain full contraceptive effects using vaccines administered to both males and females. Current research concerning human anti-sperm contraceptive vaccines is focused on delineating infertility-related epitopes to avoid autoimmune disease. We constructed phage-display peptide libraries to select epitope peptides derived from human posterior head 20 (hPH20) and homo sapiens sperm acrosome associated 1 (hSPACA1) using sera collected from infertile women harbouring anti-sperm antibodies. Following five rounds of selection, positive colonies were reconfirmed for reactivity with the immunoinfertile sera. We biopanned and analysed the chemical properties of four epitope peptides, named P82, Sa6, Sa37 and Sa76. Synthetic peptides were made and coupled to either bovine serum albumin (BSA) or ovalbumin. We used the BSA-conjugated peptides to immunise BALB/c mice and examined the effects on fertility in female and male mice. The synthetic peptides generated a sperm-specific antibody response in female and male mice that caused a contraceptive state. The immunocontraceptive effect was reversible and, with the disappearance of peptide-specific antibodies, there was complete restoration of fertility. Vaccinations using P82, Sa6 and Sa76 peptides resulted in no apparent side effects. Thus, it is efficient and practical to identify epitope peptide candidates by phage display. These peptides may find clinical application in the specific diagnosis and treatment of male and female infertility and contraceptive vaccine development.","Reproduction, fertility, and development",Journal Article,"Adult; Animals; Antibodies; Cell Adhesion Molecules; Cell Surface Display Techniques; Contraception, Immunologic; Epitope Mapping; Female; Fertility; Humans; Hyaluronoglucosaminidase; Immunization; Immunodominant Epitopes; Infertility, Female; Isoantigens; Male; Mesocricetus; Mice, Inbred BALB C; Peptide Fragments; Peptide Library; Seminal Plasma Proteins; Spermatozoa; Vaccines, Subunit; Young Adult",10.1071/RD14134,B_no_organism_block,ok,EXCLUDED,"phage as a laboratory technique (display/typing/library), not a therapeutic"
25394539,2016,Zhao A,Phage antibody display libraries: a powerful antibody discovery platform for immunotherapy.,"Phage display technology (PDT), a combinatorial screening approach, provides a molecular diversity tool for creating libraries of peptides/proteins and discovery of new recombinant therapeutics. Expression of proteins such as monoclonal antibodies (mAbs) on the surface of filamentous phage can permit the selection of high affinity and specificity therapeutic mAbs against virtually any target antigen. Using a number of diverse selection platforms (e.g. solid phase, solution phase, whole cell and in vivo biopannings), phage antibody libraries (PALs) from the start point provides great potential for the isolation of functional mAb fragments with diagnostic and/or therapeutic purposes. Given the pivotal role of PDT in the discovery of novel therapeutic/diagnostic mAbs, in the current review, we provide an overview on PALs and discuss their impact in the advancement of engineered mAbs.",Critical reviews in biotechnology,Journal Article; Review,"Animals; Antibodies, Monoclonal; Humans; Immunotherapy; Mice; Peptide Library",10.3109/07388551.2014.958978,B_no_organism_block,ok,EXCLUDED,"phage as a laboratory technique (display/typing/library), not a therapeutic"
25410289,2016,Bignone PA,Selection of Phage Display Peptides Targeting Human Pluripotent Stem Cell-Derived Progenitor Cell Lines.,"The ability of human pluripotent stem cells (hPS) to both self-renew and differentiate into virtually any cell type makes them a promising source of cells for cell-based regenerative therapies. However, stem cell identity, purity, and scalability remain formidable challenges that need to be overcome for translation of pluripotent stem cell research into clinical applications. Directed differentiation from hPS cells is inefficient and residual contamination with pluripotent cells that have the potential to form tumors remains problematic. The derivation of scalable (self-renewing) embryonic progenitor stem cell lines offers a solution because they are well defined and clonally pure. Clonally pure progenitor stem cell lines also provide a means for identifying cell surface targeting reagents that are useful for identification, tracking, and repeated derivation of the corresponding progenitor stem cell types from additional hPS cell sources. Such stem cell targeting reagents can then be applied to the manufacture of genetically diverse banks of human embryonic progenitor cell lines for drug screening, disease modeling, and cell therapy. Here we present methods to identify human embryonic progenitor stem cell targeting peptides by selection of phage display libraries on clonal embryonic progenitor cell lines and demonstrate their use for targeting quantum dots (Qdots) for stem cell labeling.","Methods in molecular biology (Clifton, N.J.)","Journal Article; Research Support, Non-U.S. Gov't",Amino Acid Sequence; Bacteriophages; Cell Lineage; Cell Separation; Clone Cells; Embryonic Stem Cells; Humans; Induced Pluripotent Stem Cells; Molecular Sequence Data; Osteogenesis; Peptide Library; Pluripotent Stem Cells; Quantum Dots; Regenerative Medicine,10.1007/7651_2014_144,B_no_organism_block,ok,EXCLUDED,"phage as a laboratory technique (display/typing/library), not a therapeutic"
25411154,2016,Hudson JA,Inactivation of Escherichia coli O157:H7 using ultraviolet light-treated bacteriophages.,"Escherichia coli O157:H7 causes serious foodborne infections warranting the development of effective control measures. One control option is to use bacteriophages (phages), which are regarded as safe to humans and an environmentally friendly alternative to chemical antimicrobials. One of the few remaining safety concerns is the potential for phages to facilitate genetic exchange between bacteria so resulting in undesirable mobilisation of genes. UV treatment of phages causes a rapid loss in their ability to replicate, while maintaining their antibacterial activity, and so the use of UV-treated phages could be an alternative to the use of viable phages. Data presented here show the inactivation of E. coli O157:H7 by UV-treated phages in milk and on the surface of raw and cooked meat. A minimum concentration of approximately 10(5) PFU cm(-2) (pre-UV treatment titre) of UV-treated phages was required before inactivation of E. coli O157:H7 on the surface of meat was measurable, and 1-2 log10 CFU cm(-2) reductions were typically obtained at concentrations of around 10(7) UV-treated phages cm(-2) (pre-UV treatment titre). Inactivation of E. coli O157:H7 by UV-treated phages was less than that for untreated phages. The production of UV-treated phages was not optimised and it is possible that better reductions in pathogen concentration could be achieved for the same input UV-treated phages concentrations.",Food science and technology international = Ciencia y tecnologia de los alimentos internacional,"Journal Article; Research Support, Non-U.S. Gov't","Animals; Anti-Bacterial Agents; Bacteriophages; Colony Count, Microbial; Escherichia coli O157; Food Microbiology; Foodborne Diseases; Humans; Meat; Microbial Interactions; Microbial Viability; Milk; Ultraviolet Rays; Virus Replication",10.1177/1082013214560445,B_no_organism_block,ok,ADVANCE,
25646607,2016,Krausz KL,Bacteriophage Transduction in Staphylococcus aureus: Broth-Based Method.,"The ability to move DNA between Staphylococcus strains is essential for the genetic manipulation of this bacterium. Often in the Staphylococci, this is accomplished through transduction using generalized transducing phage and can be performed in different ways and therefore the presence of two transduction procedures in this book. The following protocol is a relatively easy-to-perform, broth-based procedure that we have used extensively to move both plasmids and chromosomal fragments between strains of Staphylococcus aureus.","Methods in molecular biology (Clifton, N.J.)",Journal Article,"Bacteriophages; Humans; Plasmids; Staphylococcal Infections; Staphylococcus aureus; Transduction, Genetic",10.1007/7651_2014_185,B_no_organism_block,ok,ADVANCE,
25646608,2016,Olson ME,Bacteriophage Transduction in Staphylococcus aureus.,The genetic manipulation of Staphylococcus aureus for molecular experimentation is a valuable tool for assessing gene function and virulence. Genetic variability between strains coupled with difficult laboratory techniques for strain construction is a frequent roadblock in S. aureus research. Bacteriophage transduction greatly increases the speed and ease of S. aureus studies by allowing movement of chromosomal markers and plasmids between strains. This technique enables the S. aureus research community to focus investigations on clinically relevant isolates.,"Methods in molecular biology (Clifton, N.J.)","Journal Article; Research Support, Non-U.S. Gov't","Bacteriophages; Humans; Lysogeny; Plasmids; Staphylococcal Infections; Staphylococcus aureus; Transduction, Genetic",10.1007/7651_2014_186,B_no_organism_block,ok,ADVANCE,
25761931,2016,Reetz J,Novel subventricular zone early progenitor cell-specific adenovirus for in vivo therapy of central nervous system disorders reinforces brain stem cell heterogeneity.,"Neural stem/progenitor cells (NSPCs) have the potential to self-renew and to generate all neural lineages as well as to repopulate damaged areas in the brain. Our previous targeting strategies have indicated precursor cell heterogeneity between different brain regions that warrants the development of NSPC-specific delivery vehicles. Here, we demonstrate a target-specific adenoviral vector system for the in vivo manipulation of progenitor cells in the subventricular zone of the adult mouse brain. For this purpose, we identified a series of peptide ligands via phage display. The peptide with the highest affinity, SNQLPQQ, was expressed in conjunction with a bispecific adaptor molecule. To verify the targeting potential of the specific peptide, green fluorescent protein-expressing Ad vectors were coupled with the adaptor molecule and injected into the subventricular region of adult mice by stereotaxic surgery. An efficient and selective transduction of NSPCs in the SVZ was achieved, whereas hippocampal NSPCs were negative. Our results offer an expeditious and simple tool to produce retargeted viral vectors for a specific and direct in vivo manipulation of these progenitor cells. This powerful technique provides an opportunity to develop innovative strategies and express therapeutic genes in specific types of neural progenitor cells to allow success in treatment of brain disorders.",Brain structure & function,"Journal Article; Research Support, Non-U.S. Gov't","Adenoviridae; Animals; Brain; Central Nervous System Diseases; Genetic Therapy; Genetic Vectors; HEK293 Cells; Humans; Lateral Ventricles; Mice; Mice, Inbred C57BL; Neural Stem Cells; Protein Binding",10.1007/s00429-015-1025-8,B_no_organism_block,ok,EXCLUDED,"phage as a laboratory technique (display/typing/library), not a therapeutic"
25961912,2016,Mortusewicz O,PC4 promotes genome stability and DNA repair through binding of ssDNA at DNA damage sites.,"The transcriptional cofactor PC4 is an ancient single-strand DNA (ssDNA)-binding protein that has a homologue in bacteriophage T5 where it is likely the elusive replicative ssDNA-binding protein. We hypothesize that human PC4 has retained functions in ssDNA binding to stabilize replication forks and prevent genome instability in mammalian cells. Here we demonstrate that PC4 is recruited to hydroxyurea (HU)-stalled replication forks, which is dependent on active transcription and its ssDNA-binding ability. Interestingly, we demonstrate that ssDNA binding by PC4 is critical to suppress spontaneous DNA damage and promote cellular survival. PC4 accumulation co-localizes with replication protein A (RPA) at stalled forks and is increased upon RPA depletion, demonstrating compensatory functions in ssDNA binding. Depletion of PC4 not only results in defective resolution of HU-induced DNA damage but also significantly reduces homologous recombination repair efficiency. Altogether, our results indicate that PC4 has similar functions to RPA in binding ssDNA to promote genome stability, especially at sites of replication-transcription collisions.",Oncogene,"Journal Article; Research Support, Non-U.S. Gov't","Cells, Cultured; DNA Breaks, Double-Stranded; DNA Breaks, Single-Stranded; DNA Damage; DNA Repair; DNA Replication; DNA, Single-Stranded; DNA-Binding Proteins; Genomic Instability; HEK293 Cells; Humans; Mutation; Protein Binding; Transcription Factors; Transcription, Genetic",10.1038/onc.2015.135,B_no_organism_block,ok,ADVANCE,
25981889,2016,Kulbe JR,Current status of fluid biomarkers in mild traumatic brain injury.,"Mild traumatic brain injury (mTBI) affects millions of people annually and is difficult to diagnose. Mild injury is insensitive to conventional imaging techniques and diagnoses are often made using subjective criteria such as self-reported symptoms. Many people who sustain a mTBI develop persistent post-concussive symptoms. Athletes and military personnel are at great risk for repeat injury which can result in second impact syndrome or chronic traumatic encephalopathy. An objective and quantifiable measure, such as a serum biomarker, is needed to aid in mTBI diagnosis, prognosis, return to play/duty assessments, and would further elucidate mTBI pathophysiology. The majority of TBI biomarker research focuses on severe TBI with few studies specific to mild injury. Most studies use a hypothesis-driven approach, screening biofluids for markers known to be associated with TBI pathophysiology. This approach has yielded limited success in identifying markers that can be used clinically, additional candidate biomarkers are needed. Innovative and unbiased methods such as proteomics, microRNA arrays, urinary screens, autoantibody identification and phage display would complement more traditional approaches to aid in the discovery of novel mTBI biomarkers.",Experimental neurology,"Journal Article; Research Support, N.I.H., Extramural; Review",Animals; Biomarkers; Brain Injuries; Humans; Inflammation Mediators; MicroRNAs; Military Personnel; Post-Concussion Syndrome,10.1016/j.expneurol.2015.05.004,B_no_organism_block,ok,EXCLUDED,"phage as a laboratory technique (display/typing/library), not a therapeutic"
