study_group,title,year,journal,identifiers,sources,n_source_records
S9793,,,,,CTIS,1
S9795,,,,,CTIS,1
S9796,,,,,CTIS,1
S9797,,,,,CTIS,1
S9791,"A Phase 1b/2a, Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Evaluate Nebulized Bacteriophage Treatment in Outpatient Adult Cystic Fibrosis (CF) Subjects with Chronic Pseudomon...",,,,EudraCT,1
S9794,"BMX-04-002 - A Phase 2b, Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Evaluate Nebulized Bacteriophage Treatment in Outpatient Adult Cystic Fibrosis (CF) Subj",,,,CTIS,1
S9642,Bacteriophage Clinical Trial for Periprosthetic Joint Infection of Multidrug Resistant Pseudomonas Aeruginosa,,,nct:NCT06798168,ClinicalTrials.gov,1
S9790,Evaluation of phage therapy for the treatment of Pseudomonas aeruginosa wound infections in burned patients (Phase I-II clinical trial),,,,EudraCT,1
S9798,"GLORIA - PP-SA-003 - A Phase II Proof of Concept Multicenter, Randomized, Double-Blind Study to assess the safety and efficacy of Phage Therapy in Patients with Hip or Knee Prosthe",,,,CTIS,1
S9582,"Individual Patient Expanded Access for AB-PA01, an Investigational Anti-Pseudomonas Aeruginosa Bacteriophage Therapeutic",,,nct:NCT03395743,ClinicalTrials.gov,1
S9583,"Individual Patient Expanded Access for AB-SA01, an Investigational Anti-Staphylococcus Aureus Bacteriophage Therapeutic",,,nct:NCT03395769,ClinicalTrials.gov,1
S9563,Interleukin-2 Plus Anti-HIV Therapy in HIV-Infected Children With Weakened Immune Systems,,,nct:NCT00006066,ClinicalTrials.gov,1
S9800,PHRC-N/2015/AS-01 - Comparison of the efficacy of standard treatment associated with phage therapy versus standard treatment plus placebo for diabetic foot ulcers infected by Staph,,,,CTIS,1
S9595,Personalized Phage Treatment in Covid-19 Patients With Bacterial Co-Infections Microbials for Pneumonia or Bacteremia/Septicemia,,,nct:NCT04636554,ClinicalTrials.gov,1
S9801,"Phage4Cure-001 - A three part randomized, double-blind, placebo-controlled, parallel group SAD and MD clinical study to evaluate the safety, tolerability and preliminary efficacy o",,,,CTIS,1
