N°,Documento,Año,P – Población (humanos hospitalizados),I – Intervención (fagoterapia real),S – Diseño (incluible),Antigüedad (≤5 años),Decisión final,Evidencia textual de respaldo,Notas,Origen de la cepa bacteriana (solo si P=No cumple),¿Es P. aeruginosa específicamente?
1,"Abdelghafar et al. 2023 - fago litico novedoso vB_PaeM_PS3, potencial terapeutico in vivo",2023,No cumple: raton infectado,Cumple: fago litico completo,Cumple: estudio primario,Cumple,EXCLUIDO,"""la supervivencia de ratones infectados con la bacteria mejoro notablemente tras el tratamiento con fagos""",Buen antecedente preclinico.,"Colección/referencia: PAO1, ATCC 9027, ATCC 27853. Sin evidencia de aislado clínico directo para la cepa usada en el ratón.",Sí
2,Aghaee et al. 2021 - Mejorando el Efecto Inhibitorio de Fagos contra P. aeruginosa Aislada de un Paciente Quemado (con Antibioticos),2021,"No cumple: cepa aislada de paciente quemado, pero TODOS los ensayos (curvas de crecimiento, combinacion fago-antibiotico, resistencia) se hicieron in vitro; fagos aislados de aguas residuales/rio/suelo, no del paciente","Cumple: 3 fagos liticos completos (6, 32, 45) + combinacion con antibioticos",Cumple: estudio primario original,"Cumple (2021, bajo corte desde 2019)",EXCLUIDO,"Texto completo obtenido directamente de MDPI (DOI 10.3390/v13020334, acceso abierto), no del archivo subido. ""poblaciones in vitro de una cepa de P. aeruginosa aislada de un paciente quemado fueron tratadas""; ""Nuestros resultados aun necesitan validacion in vivo... planeamos validar nuestros resultados in vivo... usando modelos de raton"" (in vivo es trabajo futuro, en raton).","El archivo subido bajo este nombre (tanto en .md como en .pdf, 3 intentos) nunca contuvo el paper real -- contenia un articulo de metrologia optica no relacionado. Verificado via fuente abierta en su lugar. Exclusion unicamente por Poblacion (in vitro) tras ampliar el corte de antiguedad a 2019.","CLÍNICO: aislado #14, de las 12 cepas MDR ""previamente aisladas de pacientes con heridas por quemadura"" (confirmado con texto completo).",Sí
3,Al-Wrafy et al. 2019 - phage protein PA-PP vs 2 cepas MDR,2019,"No cumple: in vitro (spot assay, zimografia, SEM) sobre cepas aisladas","No cumple: proteina fagica aislada, no fago completo",Cumple,Cumple (2019),EXCLUIDO,Metodologia basada en ensayos de laboratorio sobre cepas aisladas de pacientes.,"Doble exclusion (P, I) tras ampliar el corte de antiguedad a 2019.","CLÍNICO: cepas ""aisladas de pacientes con ulcera de pie diabetico"".",Sí
4,Alamri et al. 2020 - WGS Ceftolozane-Tazobactam/Ceftazidime-Avibactam resistant (Reporte de Caso),2020,"1 paciente humano, sin intervencion evaluada","No cumple: WGS de resistencia, no fagoterapia",N/A,Cumple,EXCLUIDO,"Caracterizacion genomica de mecanismos de resistencia, sin fagos administrados.",Referencia de mecanismos de resistencia.,"N/A — excluido por otro criterio (I/S), no por Población.",Sí
5,Antibiotic resistance in Pseudomonas aeruginosa (Botelho et al.) - mecanismos y epidemiologia,2019,N/A: revision general,No cumple: no aborda fagoterapia,No cumple: revision narrativa,Cumple (2019),EXCLUIDO,Revision de mecanismos/epidemiologia de RAM.,Cita de fondo para introduccion. Sigue excluido por I y S tras ampliar el corte de antiguedad a 2019.,"N/A — excluido por otro criterio (I/S), no por Población.",Sí
6,Arumugam et al. 2022 - fagos liticos vs bacteriemia MDR,2022,No cumple: raton BALB/c no neutropenico,Cumple: fagos liticos AP025/AP006,Cumple,Cumple,EXCLUIDO,Modelo de bacteriemia en ratones.,Modelo animal.,"CLÍNICO: ""aisladas de pacientes quemados en Teheran, Iran"" — pero el ensayo de eficacia se hizo en ratones.",Sí
7,Aslam et al. 2019 - experiencia clinica en 3 receptores de trasplante pulmonar,2019,Cumple: 3 pacientes humanos reales,Cumple: fagoterapia administrada clinicamente,Cumple: serie de casos,"CUMPLE (2019, bajo corte desde 2019)",INCLUIDO,"""experiencia clinica temprana de fagoterapia en 3 receptores de trasplante pulmonar""","CANDIDATO PARA EXTRACCION DE DATOS. Flip a INCLUIDO al ampliar el corte de antiguedad a 2019 -- cumplia P/I/S desde el principio, serie de 3 casos clinicos reales.","N/A — paciente tratado directamente, no aplica distinción de origen de cepa.",Sí
8,"Boucherabine et al. 2022 - moviles/superficies, MDR y SARS-CoV-2",2022,N/A,"No cumple: vigilancia ambiental, no fagoterapia",N/A,Cumple,EXCLUIDO,"Estudio de contaminacion de superficies, no terapia con fagos.",Fuera de alcance tematico.,"N/A — excluido por otro criterio (I/S), no por Población.",Parcial — superbacterias MDR genéricas + SARS-CoV-2 en superficies; P. aeruginosa no es el foco exclusivo
9,"Chaplin et al. 2025 - Phage Banzai, analisis genomico y funcional",2025,No cumple: modelo Galleria mellonella,Cumple: fago completo,Cumple,Cumple,EXCLUIDO,Modelo in vivo con larvas de Galleria mellonella.,Buena referencia de caracterizacion genomica.,"CLÍNICO: ""Aisladas de Pacientes con Fibrosis Quistica en Rusia"" — pero el ensayo in vivo se hizo en Galleria mellonella.",Sí
10,Cheng et al. 2025 - fago entre géneros vB_SmaS_QH3 vs S. maltophilia,2025,No cumple: in vitro/animal; diana principal no es P. aeruginosa,Cumple parcial,Cumple,Cumple,EXCLUIDO,24 cepas de P. aeruginosa probadas solo in vitro.,Organismo diana principal distinto.,"CLÍNICO (81 cepas clínicas para host range) — pero organismo diana principal es S. maltophilia, no P. aeruginosa.",Parcial — diana principal es Stenotrophomonas maltophilia; incluye 24 cepas de P. aeruginosa (entre géneros)
11,Choudhury y Andam 2026 - co-ocurrencia MGE/AMR/sistemas de defensa,2026,N/A,"No cumple: analisis bioinformatico, no hay intervencion",N/A,Cumple,EXCLUIDO,Analisis de 1045 genomas y sistemas de defensa anti-fago.,No hay intervencion con fagos.,"N/A — excluido por otro criterio (I/S), no por Población.",Sí
12,Cocorullo et al. 2024 - Fagoterapia en Fibrosis Quistica (Revision),2024,N/A,Aborda fagoterapia narrativamente,No cumple: revision,Cumple,EXCLUIDO,"Titulo autodeclarado ""Revision"".",Buena fuente secundaria.,"N/A — excluido por otro criterio (I/S), no por Población.",Sí
13,Cunha et al. 2026 - Revision Narrativa preclinica y clinica,2026,N/A,Aborda fagoterapia narrativamente,No cumple: Revision Narrativa explicito,Cumple,EXCLUIDO,"""Una Revision Narrativa de la Evidencia Preclinica y Clinica"".",Utilizable en discusion sobre vacios de evidencia.,"N/A — excluido por otro criterio (I/S), no por Población.",Sí
14,Estado actual de la fagoterapia (Sawa et al. 2024),2024,N/A,Aborda fagoterapia narrativamente,No cumple: REVISION explicito,Cumple,EXCLUIDO,"Encabezado ""REVISION"".",Util para introduccion.,"N/A — excluido por otro criterio (I/S), no por Población.","Parcial — revisión general de fagoterapia; incluye P. aeruginosa y S. aureus, entre otros"
15,Ding et al. 2026 - endolisinas inhalables (revision integral),2026,N/A,"No cumple: endolisinas, no fago completo",No cumple: revision,Cumple,EXCLUIDO,Revision sobre endolisinas.,Doble exclusion.,"N/A — excluido por otro criterio (I/S), no por Población.",Parcial — endolisinas para infecciones pulmonares resistentes en general; P. aeruginosa es un ejemplo entre varios (incl. A. baumannii)
