study_id,arm_id,n_arm,pathogen_scope,resistance_class,resistance_class_source,route,modality,clinical_success_n,clinical_success_definition,adverse_event_n,microbio_eradication_n,mortality_n,los_days,resistance_emergence_n,study_design,data_provenance,rob_source,publication_year,journal_tier,geographic_source,extraction_citation,extraction_status,incomplete_reason
Tkhilaishvili2020,Tkhilaishvili2020_A,1,Pseudomonas-only,XDR,independently-verified,topical/local,phage+antibiotic combination,1,"Infection eradicated; no pain, satisfactory mobility, normal CRP, no implant loosening on X-ray at 10-month follow-up",0,1,0,NA,NA,case report,independently-extracted,independently-rated,2020,mid-tier (Antimicrob Agents Chemother),Germany (Berlin),"pp.1-2 Case Presentation; Table 1 antibiogram (isolate susceptible only to colistin +/- ceftazidime = XDR per Magiorakos); p.3 Treatment and Outcome, 10-month follow-up",COMPLETE,NA
Blasco2023,Blasco2023_A,1,Pseudomonas-only,MDR,author-reported,IV,phage+antibiotic combination,0,Treatment FAILURE (paper title): new P. aeruginosa BSI with septic residual limb metastasis occurred in absence of antimicrobial therapy after the 1-week phage course; ultimately required vascular prosthesis replacement,0,0,0,NA,NA,case report,independently-extracted,independently-rated,2023,mid-tier (Frontiers in Medicine),Spain (A Coruna / Seville; phages produced Belgium),"p.2 Case report - BSI relapse timeline, July 2021 phage administration; p.2 August 2021 recurrence with wild-type (re-sensitized) strain; p.3 Discussion",COMPLETE,NA
Ngauy2026,Ngauy2026_A,1,Pseudomonas-only,XDR,independently-verified,IV,phage+antibiotic combination,1,Clinical and microbiological resolution of hypermutator XDR osteomyelitis/hardware infection; ESR/CRP normalized after 1 week; orbital implant culture-negative at removal 2 weeks post-phage,0,1,1,NA,NA,case report,independently-extracted,independently-rated,2026,mid-tier (ASM Case Reports),USA (Hawaii),"p.1 Abstract; p.3 Phage selection/propagation - 2-week twice-daily IV EPa22+cefiderocol; p.4 Discussion - patient died ~2 weeks after discharge from failure to thrive/malnutrition, NOT attributed to XDR infection recurrence (implant culture negative at removal); mortality_n=1 coded as all-cause death during observation window per schema, cause is non-infection-attributable per authors - see codebook note",COMPLETE,"Mortality is all-cause (failure to thrive/malnutrition), not infection-attributable per authors; flagged for sensitivity analysis / possible exclusion from infection-attributable mortality outcome definition"
Ferry2022,Ferry2022_A,1,Pseudomonas-only,PDR,independently-verified,other (multi-route: local intra-discal instillation at surgery + later systemic IV infusion),phage+antibiotic combination,1,"Clinical cure of spinal abscess/spondylodiscitis; no implant loosening, walking without pain at 21-month follow-up. NOTE: microbiological eradication was NOT confirmed at intermediate (2nd-stage) surgery culture (SCV phenotype persisted in 2/6 samples) despite eventual clinical cure - success/eradication are DISCORDANT for this arm",0,0,1,NA,0,case report,independently-extracted,independently-rated,2022,high-tier (Nature Communications),France (Lyon; phage sourcing Switzerland/Belgium),"p.2 Results - MICs to CAZ/AVI, C/T, colistin all resistant = PDR; Fig.1 timeline; p.3 second-stage surgery SCV persistence 2/6 samples, Table 2 EOP scores showing continued phage susceptibility; p.4 Discussion - 21-month favorable outcome, death from severe COVID-19 pneumonia Dec 2020 (unrelated to P. aeruginosa infection, occurred after documented clinical cure)",COMPLETE,"Mortality is all-cause (COVID-19 pneumonia, unrelated to infection, occurred after clinical cure at 21mo); flagged for sensitivity analysis; clinical_success and microbio_eradication are discordant (success=1, eradication=0 at intermediate timepoint) - document in Methods as heterogeneous 'success' definitions per strategy memo Sec 2.2"
Liu2025_perinephric,Liu2025_perinephric_P1,1,Pseudomonas-only,not-classifiable,not-classifiable,topical/local,phage+antibiotic combination,1,Wound and urine culture-negative at discharge; sinus tract closure; no P. aeruginosa recurrence at 6-month follow-up,0,1,0,NA,0,case series,independently-extracted,independently-rated,2025,mid-tier (mLife/Wiley),China (Shanghai),"p.2 Results - Patient 1 (acute) section, Fig.1A-D timeline Feb-March 2023; discharge culture-negative; ELIGIBILITY FLAG: Fig.1B antibiogram shows only imipenem resistant pre-treatment (1 of ~11 tested agents) - does NOT meet the strategy memo's >=3-category non-susceptibility threshold for an MDR label despite paper's own 'antibiotic-resistant' framing; coded not-classifiable per asymmetric conservative rule (Sec 2.2 rule 3/4), NOT upgraded to MDR - recommend strategist/coder review this arm's eligibility before pooling",COMPLETE,MDR/XDR eligibility itself is questionable for this arm per strict Magiorakos re-derivation from the reported antibiogram - see extraction_citation flag
Liu2025_perinephric,Liu2025_perinephric_P2,1,mixed-pathogen-with-Pseudomonas-subgroup,PDR,independently-verified,topical/local,phage+antibiotic combination,0,"Treatment FAILURE for primary abscess site: urinary tract infection resolved and inflammatory area reduced (72x15mm to 21x10mm on ultrasound) but perinephric P. aeruginosa PERSISTED in wound secretions despite 3 courses of phage therapy; patient discharged per personal choice, not cured",0,0,0,NA,0,case series,independently-extracted,independently-rated,2025,mid-tier (mLife/Wiley),China (Shanghai),"p.2-3 Results - Patient 2 (chronic) section, author-labeled 'pan-drug-resistant P. aeruginosa (PDR-PA)'; Fig.2A,D antibiogram supports PDR across >=8 tested categories (aztreonam/ceftazidime/ciprofloxacin/cefepime/imipenem/levofloxacin/meropenem/piperacillin all R); Fig.2E ultrasound; p.5 Discussion - concurrent drug-resistant E. coli superinfection treated separately (amikacin+fosfomycin), not counted in this P. aeruginosa arm's outcomes; p.5 comparative genomics - NO phage-resistant mutants emerged (ANI>99.999% clonal, all isolates remained phage-susceptible)",COMPLETE,NA
Racenis2023_LVAD,Racenis2023_LVAD_A,1,Pseudomonas-only,MDR,independently-verified,other (multi-route: intravenous + local wound/driveline irrigation concurrently),phage+antibiotic combination,1,Clinical cure with eradication of targeted P. aeruginosa; no recurrence >21 months post-treatment; PET/CT (Fig.3C) showed resolution of metabolic activity,0,1,0,45,0,case report,independently-extracted,independently-rated,2023,mid-tier (Viruses/MDPI),Latvia (Riga; phages from Belgium QAMH),"p.3-4 Case Description - Table 1 antibiogram (susceptible to AMK/CAZ-AVI/CST/most MEM, resistant to fosfomycin, intermediate to several others = MDR); p.4-5 Therapeutic Intervention; p.6 Follow-up - discharged postoperative day 45 (los_days=45 explicitly reported), 21-month cure confirmed via PET/CT Fig.3C. NOTE: in vitro biofilm modeling on the PRE-treatment isolate (PAP01) showed phage resistance CAN emerge under laboratory conditions (Table 2, Sec 6.2-6.3) - this is a mechanistic/in-vitro finding, NOT a clinical resistance-emergence event during the patient's actual treatment course (patient was cured); resistance_emergence_n=0 reflects the CLINICAL outcome only",COMPLETE,"In vitro phage-resistance data exist for this study (Table 2) but are not clinical resistance-emergence events; do not conflate with resistance_emergence_n field, which reflects clinical course only"
Racenis2022_femur,Racenis2022_femur_A,1,mixed-pathogen-with-Pseudomonas-subgroup,MDR,independently-verified,topical/local,phage+antibiotic combination,1,"Eradication of infection in PROXIMAL femoral segment/hip region (site treated with local phage BFC 1.10); wound healed with no local/systemic infection signs at days 1-15 post-phage; enabled endoprosthesis reconstruction 9 months later. IMPORTANT: a SEPARATE, untreated-by-phage recurrence of MDR P. aeruginosa+VRE occurred at the DISTAL femoral segment ~9 months later and was treated with antibiotics alone (DAIR, colistin+fosfomycin) - that distal episode is NOT part of this phage-treated arm and is excluded from this row's outcome counts",0,1,0,NA,NA,case report,independently-extracted,independently-rated,2022,mid-tier (Frontiers in Medicine),Latvia (Riga; phage from Belgium QAMH),"p.2-3 Case Description - Dec 2018 treatment timeline; Fig.2 timeline of surgical interventions/microbiology/phage isolation; p.3 culture-negative wound swabs on days 1,3,4,7,10,15 post-phage; p.6 Discussion - explicit statement that distal segment infection (P. aeruginosa+VRE) was a separate, non-phage-treated episode successfully treated with DAIR+antibiotics alone",COMPLETE,"Co-isolated VRE and S. epidermidis at proximal culture alongside P. aeruginosa (polymicrobial) but P. aeruginosa-specific eradication is separately trackable via repeated negative cultures, hence coded mixed-with-Pseudomonas-subgroup (extractable) rather than mixed-not-separable"
Dan2023_immune_substudy,NA,NA,mixed-not-separable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,case report,cross-validated-against-Liu2025,independently-rated,2023,high-tier (J Infect Dis),USA (San Diego; lung transplant recipient),"CONFIRMED DUPLICATE (2026-07-20): orchestrator independently extracted Aslam et al. 2019 (PMC6711787) and confirmed this is the SAME PATIENT as Aslam2019_P1 (2 treatment episodes, IV+nebulized AB-PA01, bilateral lung transplant recipient, MDR P. aeruginosa pneumonia -- identical clinical scenario). This row is EXCLUDED to avoid double-counting per strategy memo Sec.3 Tier-2 policy; the patient's outcome is already captured as Aslam2019_P1. Retained as an audit-trail row (pathogen_scope=mixed-not-separable triggers the R cleaning script's auto-exclusion filter) rather than deleted.",EXCLUDED_DUPLICATE,"Confirmed duplicate of Aslam2019_P1 -- excluded from pooling, not merely incomplete. This is an immunology sub-study (T-cell/antibody response) of the same clinical case already counted once via Aslam et al. 2019."
Onallah2023_PASA16,Onallah2023_PASA16_agg,15,Pseudomonas-only,not-classifiable,not-classifiable,"other (multi-route: IV, local, and topical, not disaggregated per patient in available source)",phage+antibiotic combination,13,'Good clinical outcome' as defined by study authors (binary); 2 clinical failures among 15,NA,NA,NA,NA,NA,case series,independently-extracted,"independently-rated -- JBI case-series (Low-to-moderate risk), see quality_reports/risk_of_bias_assessment_phage_therapy_mdr_pseudomonas.md",2023,high-tier (Med/Cell Press),Israel (Hebrew University/Hadassah),"Correct citation resolved by orchestrator (2026-07-19) via WebSearch/WebFetch: Onallah H, Hazan R, Nir-Paz R et al., 'Refractory Pseudomonas aeruginosa infections treated with phage PASA16: A compassionate use case series,' Med 4(9):600-611.e4, DOI 10.1016/j.medj.2023.07.002 -- NOT 'Green et al.' as previously recorded in annotated_bibliography.md/references.bib (author-name error to be corrected there too). 16 patients treated, data available for 15 (aggregate arm, not per-patient). 13/15 (86.6%) good clinical outcome, 2 failures (per scholar.rochesterregional.org structured summary of the paper, since cell.com/sciencedirect full text returned HTTP 403 in this pass). PASA16 administered with background antibiotics ('PASA16 with antibiotics'). Route: IV, local, or topical, not disaggregated per patient in the source consulted. adverse_event_n/microbio_eradication_n/mortality_n left NA (source states 'a few minor side effects... elevated liver enzymes, transient WBC reduction' but gives no patient count; eradication and mortality not reported in the summary consulted). MDR/XDR not classifiable from this source. REMAINING WORK: full-text retrieval needed for exact AE count, per-patient route breakdown, and any MDR/XDR data if reported. UPDATED (2026-07-22) via direct PubMed abstract retrieval (PMID 37562400, full structured abstract): confirms clinical_success_n=13/15 (86.6%) exactly as already coded. Abstract additionally reports 'a few minor side effects... including elevated liver function enzymes and a transient reduction in white blood cell count' but gives no exact patient count for this -- adverse_event_n remains NA (a vague qualitative mention, not a numerator, per this review's standard of not forcing an unsupported number). No PMC full text available (confirmed via find_related_articles, pubmed_pmc link type, zero results) -- the abstract is the most granular source accessible to this review team.",EXTRACTION_INCOMPLETE,"Exact AE count, per-patient route breakdown, and MDR/XDR data not confirmed -- aggregate-only extraction from a structured secondary summary, not the primary paper's full tables."
